event,charge_mode,duration_minutes,km_driven,charge
1,240,306.0000051980826,0.0,42.40000348220012
0,0,6.999999753081705,2.531250099532254,0.4000003560896914
0,0,19.99999949694877,9.531250433274176,-0.8000009409881415
1,360,2.0000000559704243,0.0,1.6000016531675385
1,360,35.00000089091947,0.0,21.499998064270912
1,240,431.999999336546,0.0,28.19999605937329
0,0,71.00000083563164,100.43750336441921,-23.900000810965764
0,0,60.999998961646305,97.21874738027431,-31.800000103145983
0,0,8.999999986178041,2.8125000353870955,-0.8000009409881415
1,240,306.0000051980826,0.0,42.40000348220012
0,0,6.999999753081705,2.531250099532254,0.4000003560896914
0,0,19.99999949694877,9.531250433274176,-0.8000009409881415
1,360,2.0000000559704243,0.0,1.6000016531675385
1,360,35.00000089091947,0.0,21.499998064270912
0,0,59.000000854060914,92.60937849529824,-20.40000099078587
0,0,71.00000083563164,100.43750336441921,-23.900000810965764
0,0,60.999998961646305,97.21874738027431,-31.800000103145983
0,0,8.999999986178041,2.8125000353870955,-0.8000009409881415
1,240,306.0000051980826,0.0,42.40000348220012
0,0,6.999999753081705,2.531250099532254,0.4000003560896914
0,0,19.99999949694877,9.531250433274176,-0.8000009409881415
1,360,2.0000000559704243,0.0,1.6000016531675385
1,360,35.00000089091947,0.0,21.499998064270912
0,0,59.000000854060914,92.60937849529824,-20.40000099078587
0,0,2.9999999953926806,0.15625000039919354,-7.626958620221558e-08
0,0,60.999998961646305,97.21874738027431,-31.800000103145983
0,0,8.999999986178041,2.8125000353870955,-0.8000009409881415
1,240,306.0000051980826,0.0,42.40000348220012
0,0,6.999999753081705,2.531250099532254,0.4000003560896914
0,0,19.99999949694877,9.531250433274176,-0.8000009409881415
1,360,2.0000000559704243,0.0,1.6000016531675385
1,360,35.00000089091947,0.0,21.499998064270912
0,0,59.000000854060914,92.60937849529824,-20.40000099078587
0,0,2.9999999953926806,0.15625000039919354,-7.626958620221558e-08
0,0,2.9999999953926806,0.8281249866048392,-0.4000005086288638
0,0,8.999999986178041,2.8125000353870955,-0.8000009409881415
1,240,306.0000051980826,0.0,42.40000348220012
0,0,6.999999753081705,2.531250099532254,0.4000003560896914
0,0,19.99999949694877,9.531250433274176,-0.8000009409881415
